season,number_in_season,number_in_series,original_air_date,day_aired,imdb_rating,us_viewers_in_millions,title,is_last_episode
11,11,237,2000-01-16,Sunday,6.9,10.4,Faith Off,0
12,11,259,2001-02-04,Sunday,7.5,18.5,Worst Episode Ever,0
11,13,239,2000-02-06,Sunday,6.6,9.6,Saddlesore Galactica,0
11,22,248,2000-05-21,Sunday,7.9,8.3,Behind the Laughter,1
12,7,255,2000-12-10,Sunday,7.3,16.8,The Great Money Caper,0
11,15,241,2000-02-20,Sunday,7.3,9.8,Missionary: Impossible,0
11,18,244,2000-04-09,Sunday,7.4,8.3,Days of Wine and D'oh'ses,0
7,20,148,1996-03-31,Sunday,8.6,11.8,Bart on the Road,0
12,16,264,2001-03-11,Sunday,6.5,16.1,"Bye, Bye, Nerdie",0
12,19,267,2001-05-06,Sunday,7.3,13.1,I'm Goin' to Praiseland,0
12,21,269,2001-05-20,Sunday,7.0,13.4,Simpsons Tall Tales,1
13,18,287,2002-04-28,Sunday,7.7,12.4,I Am Furious (Yellow),0
13,19,288,2002-05-05,Sunday,6.9,11.8,The Sweetest Apu,0
15,3,316,2003-11-16,Sunday,7.0,12.7,The President Wore Pearls,0
13,2,271,2001-11-11,Sunday,7.1,14.9,The Parent Rap,0
13,16,285,2002-04-07,Sunday,7.7,12.5,Weekend at Burnsie's,0
14,4,295,2002-11-24,Sunday,7.1,17.4,Large Marge,0
13,11,280,2002-02-17,Sunday,7.1,11.2,The Bart Wants What It Wants,0
14,14,305,2003-03-09,Sunday,6.9,14.4,Mr. Spritz Goes to Washington,0
13,4,273,2001-12-02,Sunday,7.2,13.4,A Hunka Hunka Burns in Love,0
14,2,293,2002-11-10,Sunday,7.3,12.5,How I Spent My Strummer Vacation,0
13,6,275,2001-12-16,Sunday,7.1,13.2,She of Little Faith,0
14,5,296,2002-12-01,Sunday,6.8,15.1,Helter Shelter,0
13,14,283,2002-03-17,Sunday,7.3,11.7,Tales from the Public Domain,0
14,9,300,2003-02-02,Sunday,6.9,15.4,The Strong Arms of the Ma,0
13,7,276,2002-01-06,Sunday,6.9,11.8,Brawl in the Family,0
13,9,278,2002-01-27,Sunday,7.3,14.2,Jaws Wired Shut,0
13,20,289,2002-05-12,Sunday,7.2,11.2,Little Girl in the Big Ten,0
14,19,310,2003-05-04,Sunday,6.8,11.59,Old Yeller-Belly,0
14,7,298,2003-01-05,Sunday,7.1,15.0,Special Edna,0
14,11,302,2003-02-16,Sunday,6.6,21.3,Barting Over,0
14,18,309,2003-04-27,Sunday,7.0,11.71,"Dude, Where's My Ranch?",0
14,21,312,2003-05-18,Sunday,6.6,12.1,The Bart of War,0
15,1,314,2003-11-02,Sunday,7.4,16.22,Treehouse of Horror XIV,0
8,12,165,1997-02-02,Sunday,8.6,9.1,Mountain of Madness,0
15,6,319,2003-12-07,Sunday,6.6,10.5,Today I Am a Clown,0
15,8,321,2004-01-04,Sunday,6.7,12.0,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",0
15,10,323,2004-01-25,Sunday,7.3,10.6,Diatribe of a Mad Housewife,0
16,2,337,2004-11-14,Sunday,7.0,11.64,All's Fair in Oven War,0
15,21,334,2004-05-16,Sunday,6.2,8.7,Bart-Mangled Banner,0
16,18,353,2005-05-08,Sunday,6.8,8.72,A Star Is Torn,0
17,6,362,2005-11-20,Sunday,6.9,10.3,See Homer Run,0
15,12,325,2004-02-15,Sunday,7.3,9.4,Milhouse Doesn't Live Here Anymore,0
15,14,327,2004-03-14,Sunday,6.9,10.7,The Ziff Who Came to Dinner,0
16,8,343,2005-02-06,Sunday,6.4,23.07,Homer and Ned's Hail Mary Pass,0
17,2,358,2005-09-18,Sunday,6.9,9.79,The Girl Who Slept Too Little,0
15,16,329,2004-03-28,Sunday,6.9,10.5,The Wandering Juvie,0
17,3,359,2005-09-25,Sunday,7.0,10.19,Milhouse of Sand and Fog,0
17,4,360,2005-11-06,Sunday,7.3,11.63,Treehouse of Horror XVI,0
17,10,366,2006-01-08,Sunday,6.7,10.1,Homer's Paternity Coot,0
16,4,339,2004-12-05,Sunday,6.6,10.81,She Used to Be My Girl,0
15,17,330,2004-04-18,Sunday,6.7,9.2,My Big Fat Geek Wedding,0
16,15,350,2005-04-17,Sunday,7.3,8.31,Future-Drama,0
17,8,364,2005-12-11,Sunday,7.0,10.39,The Italian Bob,0
15,19,332,2004-05-02,Sunday,7.3,9.5,Simple Simpson,0
17,11,367,2006-01-29,Sunday,7.0,9.04,We're on the Road to D'ohwhere,0
16,11,346,2005-03-06,Sunday,6.9,10.39,On a Clear Day I Can't See My Sister,0
16,20,355,2005-05-15,Sunday,7.1,8.17,Home Away from Homer,0
16,1,336,2004-11-07,Sunday,7.4,11.29,Treehouse of Horror XV,0
16,6,341,2005-01-16,Sunday,7.3,8.11,Midnight Rx,0
16,9,344,2005-02-13,Sunday,6.8,8.01,Pranksta Rap,0
9,16,194,1998-03-01,Sunday,7.6,10.3,Dumbbell Indemnity,0
17,19,375,2006-04-30,Sunday,7.2,8.7,Girls Just Want to Have Sums,0
17,21,377,2006-05-14,Sunday,7.1,8.3,The Monkey Suit,0
18,18,396,2007-04-29,Sunday,6.3,7.57,The Boys of Bummer,0
19,5,405,2007-11-04,Sunday,7.1,11.7,Treehouse of Horror XVIII,0
18,15,393,2007-03-11,Sunday,6.3,8.98,Rome-Old and Juli-Eh,0
19,16,416,2008-04-13,Sunday,6.1,6.9,Papa Don't Leech,0
17,22,378,2006-05-21,Sunday,6.6,8.23,Marge and Homer Turn a Couple Play,1
18,10,388,2007-01-07,Sunday,6.6,13.9,The Wife Aquatic,0
20,3,423,2008-10-19,Sunday,7.0,8.09,"Double, Double, Boy in Trouble",0
18,4,382,2006-11-05,Sunday,7.1,10.43,Treehouse of Horror XVII,0
19,11,411,2008-01-27,Sunday,6.3,7.6,That '90s Show,0
20,8,428,2008-12-07,Sunday,6.6,6.19,The Burns and the Bees,0
18,6,384,2006-11-19,Sunday,6.8,9.31,Moe'N'a Lisa,0
18,8,386,2006-12-10,Sunday,7.2,8.29,The Haw-Hawed Couple,0
19,7,407,2007-11-18,Sunday,7.1,10.5,Husbands and Knives,0
19,20,420,2008-05-18,Sunday,6.4,6.11,All About Lisa,1
18,22,400,2007-05-20,Sunday,7.3,9.8,You Kent Always Say What You Want,1
20,5,425,2008-11-09,Sunday,6.6,8.16,Dangerous Curves,0
18,13,391,2007-02-18,Sunday,7.3,8.8,Springfield Up,0
18,11,389,2007-01-28,Sunday,7.0,8.09,Revenge Is a Dish Best Served Three Times,0
18,17,395,2007-04-22,Sunday,7.3,6.4,Marge Gamer,0
18,20,398,2007-05-13,Sunday,7.0,6.48,Stop! Or My Dog Will Shoot,0
19,14,414,2008-03-09,Sunday,7.3,7.3,Dial 'N' for Nerder,0
19,12,412,2008-02-17,Sunday,6.6,7.81,"Love, Springfieldian Style",0
20,7,427,2008-11-30,Sunday,7.1,7.8,MyPods and Boomsticks,0
20,1,421,2008-09-28,Sunday,7.2,9.3,"Sex, Pies and Idiot Scrapes",0
19,18,418,2008-05-04,Sunday,7.0,6.18,Any Given Sundance,0
10,3,206,1998-09-27,Sunday,7.5,7.35,Bart the Mother,0
20,10,430,2009-02-15,Sunday,7.0,6.82,"Take My Life, Please",0
20,12,432,2009-03-08,Sunday,7.0,5.99,"No Loan Again, Naturally",0
22,1,465,2010-09-26,Sunday,6.3,7.75,Elementary School Musical,0
20,19,439,2009-05-03,Sunday,7.1,6.75,"Waverly Hills, 9-0-2-1-D'oh",0
21,22,463,2010-05-16,Sunday,7.2,6.26,The Bob Next Door,0
20,17,437,2009-04-19,Sunday,7.2,6.5,"The Good, the Sad and the Drugly",0
21,10,451,2010-01-10,Sunday,6.7,14.62,Once Upon a Time in Springfield,0
21,2,443,2009-10-04,Sunday,6.6,9.32,Bart Gets a 'Z',0
20,16,436,2009-04-05,Sunday,7.2,6.5,Eeny Teeny Maya Moe,0
21,18,459,2010-04-18,Sunday,6.9,5.93,Chief of Hearts,0
21,3,444,2009-10-11,Sunday,6.3,7.5,The Great Wife Hope,0
21,20,461,2010-05-02,Sunday,7.2,6.06,To Surveil with Love,0
22,15,479,2011-03-06,Sunday,6.7,6.2,The Scorpion's Tale,0
22,13,477,2011-02-13,Sunday,6.9,5.61,The Blue and the Gray,0
21,13,454,2010-02-21,Sunday,6.6,6.08,The Color Yellow,0
22,6,470,2010-11-21,Sunday,6.5,6.58,The Fool Monty,0
21,8,449,2009-12-13,Sunday,7.2,7.11,"O Brother, Where Bart Thou?",0
21,12,453,2010-02-14,Sunday,6.8,5.87,Boy Meets Curl,0
22,17,481,2011-03-27,Sunday,6.5,6.14,Love Is a Many Strangled Thing,0
21,5,446,2009-11-15,Sunday,6.7,9.04,The Devil Wears Nada,0
22,20,484,2011-05-08,Sunday,7.2,5.48,Homer Scissorhands,0
21,15,456,2010-03-21,Sunday,7.0,5.69,Stealing First Base,0
22,7,471,2010-11-28,Sunday,6.4,9.38,How Munched is That Birdie in the Window?,0
22,19,483,2011-05-01,Sunday,6.6,6.1,The Real Housewives of Fat Tony,0
22,10,474,2011-01-09,Sunday,6.3,12.6,Moms I'd Like to Forget,0
22,3,467,2010-10-10,Sunday,6.8,6.72,MoneyBart,0
22,11,475,2011-01-16,Sunday,6.9,6.47,Flaming Moe,0
10,14,217,1999-02-14,Sunday,7.3,7.7,I'm with Cupid,0
23,2,488,2011-10-02,Sunday,7.0,6.19,Bart Stops to Smell the Roosevelts,0
23,4,490,2011-11-06,Sunday,6.7,7.97,Replaceable You,0
23,11,497,2012-01-15,Sunday,7.0,11.48,The D'oh-cial Network,0
25,10,540,2014-01-12,Sunday,7.1,4.83,Married to the Blob,0
23,21,507,2012-05-13,Sunday,6.7,4.07,Ned 'n Edna's Blend,0
24,4,512,2012-11-11,Sunday,6.7,6.86,Gone Abie Gone,0
24,9,517,2013-01-06,Sunday,6.9,8.97,Homer Goes to Prep School,0
25,3,533,2013-11-03,Sunday,6.5,5.43,Four Regrettings and a Funeral,0
25,7,537,2013-12-08,Sunday,7.0,6.85,Yellow Subterfuge,0
23,19,505,2012-04-29,Sunday,7.4,5.0,A Totally Fun Thing That Bart Will Never Do Again,0
23,6,492,2011-11-20,Sunday,7.8,5.77,The Book Job,0
23,13,499,2012-02-12,Sunday,6.5,4.26,The Daughter Also Rises,0
25,9,539,2014-01-05,Sunday,7.6,12.04,Steal This Episode,0
23,15,501,2012-03-04,Sunday,6.9,5.09,Exit Through the Kwik-E-Mart,0
24,15,523,2013-03-10,Sunday,7.0,4.85,"Black Eyed, Please",0
23,17,503,2012-03-18,Sunday,7.1,5.25,"Them, Robot",0
25,2,532,2013-10-06,Sunday,7.1,6.42,Treehouse of Horror XXIV,0
24,18,526,2013-04-28,Sunday,6.5,4.54,Pulpit Friction,0
24,11,519,2013-01-27,Sunday,6.6,5.23,The Changing of the Guardian,0
24,1,509,2012-09-30,Sunday,6.4,8.08,Moonshine River,0
24,6,514,2012-11-25,Sunday,6.5,7.46,A Tree Grows in Springfield,0
24,2,510,2012-10-07,Sunday,7.3,6.57,Treehouse of Horror XXIII,0
24,7,515,2012-12-09,Sunday,7.2,7.44,The Day the Earth Stood Cool,0
24,13,521,2013-02-17,Sunday,7.0,4.57,Hardly Kirk-ing,0
24,20,528,2013-05-12,Sunday,6.3,4.16,The Fabulous Faker Boy,0
25,5,535,2013-11-17,Sunday,7.1,4.08,Labor Pains,0
24,22,530,2013-05-19,Sunday,7.0,4.52,Dangers on a Train,1
10,15,218,1999-02-21,Sunday,7.3,8.6,"Marge Simpson in: ""Screaming Yellow Honkers""",0
25,14,544,2014-03-16,Sunday,6.6,4.02,The Winter of His Content,0
25,19,549,2014-04-27,Sunday,5.8,3.45,What to Expect When Bart's Expecting,0
26,8,560,2014-11-23,Sunday,6.5,3.45,Covercraft,0
26,13,565,2015-02-08,Sunday,6.3,2.78,Walking Big & Tall,0
27,5,579,2015-10-25,Sunday,6.8,6.75,Treehouse of Horror XXVI,0
27,10,584,2016-01-03,Sunday,6.6,4.41,The Girl Code,0
25,21,551,2014-05-11,Sunday,6.7,3.66,Pay Pal,0
27,1,575,2015-09-27,Sunday,5.9,3.28,Every Man's Dream,0
26,20,572,2015-05-03,Sunday,6.2,3.12,Let's Go Fly a Coot,0
26,17,569,2015-03-15,Sunday,6.7,3.59,Waiting for Duffman,0
27,7,581,2015-11-22,Sunday,6.3,5.64,Lisa with an 'S',0
26,11,563,2015-01-11,Sunday,7.3,4.28,Bart's New Friend,0
27,13,587,2016-02-14,Sunday,6.3,2.89,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,0
26,19,571,2015-04-26,Sunday,6.9,3.33,The Kids Are All Fight,0
26,16,568,2015-03-08,Sunday,6.9,3.79,Sky Police,0
26,1,553,2014-09-28,Sunday,5.8,8.53,Clown in the Dumps,0
26,3,555,2014-10-12,Sunday,6.5,7.33,Super Franchise Me,0
27,12,586,2016-01-17,Sunday,6.7,3.95,Much Apu About Something,0
26,9,561,2014-12-07,Sunday,6.8,6.52,I Won't Be Home for Christmas,0
26,4,556,2014-10-19,Sunday,7.3,7.76,Treehouse of Horror XXV,0
26,14,566,2015-02-15,Sunday,6.7,2.67,My Fare Lady,0
27,17,591,2016-04-03,Sunday,6.5,2.32,The Burns Cage,0
26,22,574,2015-05-17,Sunday,6.9,2.82,Mathlete's Feat,1
27,15,589,2016-03-06,Sunday,6.3,3.09,Lisa the Veterinarian,0
27,8,582,2015-12-06,Sunday,7.1,5.53,Paths of Glory,0
27,3,577,2015-10-11,Sunday,7.2,3.31,Puffless,0
2,18,31,1991-04-11,Thursday,8.0,20.6,Brush with Greatness,0
3,10,45,1991-11-21,Thursday,8.8,23.9,Flaming Moe's,0
1,5,5,1990-02-04,Sunday,8.1,27.1,Bart the General,0
3,24,59,1992-08-27,Thursday,8.2,17.2,"Brother, Can You Spare Two Dimes?",1
4,3,62,1992-10-08,Thursday,9.0,19.3,Homer the Heretic,0
5,2,83,1993-10-07,Thursday,9.0,20.0,Cape Feare,0
5,7,88,1993-11-11,Thursday,7.7,18.7,Bart's Inner Child,0
5,15,96,1994-02-24,Thursday,8.8,18.2,Deep Space Homer,0
5,19,100,1994-04-28,Thursday,8.4,19.7,Sweet Seymour Skinner's Baadasssss Song,0
5,20,101,1994-05-05,Thursday,8.2,15.5,The Boy Who Knew Too Much,0
6,6,109,1994-10-30,Sunday,9.0,22.2,Treehouse of Horror V,0
6,25,128,1995-05-21,Sunday,9.1,15.0,Who Shot Mr. Burns? (Part One),1
8,2,155,1996-11-03,Sunday,9.2,13.9,You Only Move Twice,0
8,9,162,1997-01-05,Sunday,8.5,14.9,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),0
8,23,176,1997-05-04,Sunday,9.2,11.8,Homer's Enemy,0
9,4,182,1997-10-26,Sunday,8.1,10.9,Treehouse of Horror VIII,0
9,7,185,1997-11-16,Sunday,7.7,11.4,The Two Mrs. Nahasapeemapetilons,0
10,6,209,1998-11-15,Sunday,7.6,8.3,D'oh-in' in the Wind,0
12,8,256,2000-12-17,Sunday,8.0,15.9,Skinner's Sense of Snow,0
12,9,257,2001-01-07,Sunday,8.0,18.5,HOMR,0
12,18,266,2001-04-29,Sunday,8.6,14.4,Trilogy of Error,0
13,22,291,2002-05-22,Wednesday,8.0,8.2,Poppa's Got a Brand New Badge,1
14,1,292,2002-11-03,Sunday,7.6,16.7,Treehouse of Horror XIII,0
23,9,495,2011-12-11,Sunday,8.2,6.43,Holidays of Future Passed,0
26,6,558,2014-11-09,Sunday,7.9,6.7,Simpsorama,0
27,4,578,2015-10-18,Sunday,7.5,3.69,Halloween of Horror,0
27,20,594,2016-05-08,Sunday,6.7,2.52,To Courier with Love,0
1,3,3,1990-01-21,Sunday,7.5,27.5,Homer's Odyssey,0
11,9,235,1999-12-19,Sunday,7.3,7.76,Grift of the Magi,0
12,2,250,2000-11-05,Sunday,7.4,16.2,A Tale of Two Springfields,0
12,5,253,2000-11-26,Sunday,7.2,15.0,Homer vs. Dignity,0
13,13,282,2002-03-10,Sunday,6.5,14.5,The Old Man and the Key,0
14,16,307,2003-03-30,Sunday,7.1,12.6,'Scuse Me While I Miss the Sky,0
15,11,324,2004-02-08,Sunday,7.1,8.9,Margical History Tour,0
16,13,348,2005-03-20,Sunday,7.0,8.49,Mobile Homer,0
16,16,351,2005-05-01,Sunday,7.4,11.92,Don't Fear the Roofer,0
17,13,369,2006-03-12,Sunday,7.4,9.72,The Seemingly Never-Ending Story,0
17,15,371,2006-03-26,Sunday,6.5,10.09,"Homer Simpson, This Is Your Wife",0
17,18,374,2006-04-23,Sunday,6.7,7.04,The Wettest Stories Ever Told,0
19,3,403,2007-10-07,Sunday,7.2,7.7,Midnight Towboy,0
20,6,426,2008-11-16,Sunday,7.1,8.52,Homer and Lisa Exchange Cross Words,0
20,21,441,2009-05-17,Sunday,7.2,5.86,Coming to Homerica,1
21,4,445,2009-10-18,Sunday,7.3,8.59,Treehouse of Horror XX,0
21,17,458,2010-04-11,Sunday,6.7,5.65,American History X-cellent,0
21,19,460,2010-04-25,Sunday,6.9,5.94,The Squirt and the Whale,0
22,4,468,2010-11-07,Sunday,7.1,8.19,Treehouse of Horror XXI,0
23,7,493,2011-11-27,Sunday,6.8,5.61,The Man in the Blue Flannel Pants,0
24,16,524,2013-03-17,Sunday,7.1,4.89,Dark Knight Court,0
24,21,529,2013-05-19,Sunday,7.2,4.01,The Saga of Carl,0
25,16,546,2014-03-30,Sunday,6.9,3.91,You Don't Have to Live Like a Referee,0
26,15,567,2015-03-01,Sunday,6.6,3.93,The Princess Guide,0
27,18,592,2016-04-10,Sunday,6.4,2.55,How Lisa Got Her Marge Back,0
27,22,596,2016-05-22,Sunday,6.9,2.54,Orange Is the New Yellow,1
12,14,262,2001-02-25,Sunday,7.2,18.1,New Kids on the Blecch,0
13,8,277,2002-01-20,Sunday,7.0,12.3,Sweets and Sour Marge,0
13,21,290,2002-05-19,Sunday,7.1,10.8,The Frying Game,0
14,12,303,2003-02-16,Sunday,7.3,22.1,I'm Spelling As Fast As I Can,0
14,13,304,2003-03-02,Sunday,7.1,14.4,A Star Is Born-Again,0
15,4,317,2003-11-23,Sunday,7.1,12.2,The Regina Monologues,0
16,21,356,2005-05-15,Sunday,7.2,9.69,"The Father, the Son, and the Holy Guest Star",1
17,5,361,2005-11-13,Sunday,6.9,11.4,Marge's Son Poisoning,0
17,17,373,2006-04-09,Sunday,7.2,8.2,"Kiss Kiss, Bang Bangalore",0
18,2,380,2006-09-17,Sunday,6.7,8.94,Jazzy and the Pussycats,0
19,1,401,2007-09-23,Sunday,6.7,9.7,He Loves to Fly and He D'ohs,0
19,4,404,2007-10-14,Sunday,6.9,8.8,I Don't Wanna Know Why the Caged Bird Sings,0
19,9,409,2007-12-16,Sunday,8.2,10.15,Eternal Moonshine of the Simpson Mind,0
20,9,429,2009-01-25,Sunday,5.9,5.75,Lisa the Drama Queen,0
20,11,431,2009-03-01,Sunday,7.0,6.52,How the Test Was Won,0
20,14,434,2009-03-22,Sunday,6.3,6.15,In the Name of the Grandfather,0
20,15,435,2009-03-29,Sunday,6.8,6.58,Wedding for Disaster,0
22,22,486,2011-05-22,Sunday,7.0,5.25,The Ned-Liest Catch,1
23,14,500,2012-02-19,Sunday,7.0,5.77,At Long Last Leave,0
23,16,502,2012-03-11,Sunday,7.3,4.97,How I Wet Your Mother,0
24,3,511,2012-11-04,Sunday,6.9,5.65,Adventures in Baby-Getting,0
25,12,542,2014-03-09,Sunday,6.4,2.69,Diggs,0
25,18,548,2014-04-13,Sunday,7.0,3.64,Days of Future Future,0
