season,number_in_season,number_in_series,original_air_date,day_aired,imdb_rating,us_viewers_in_millions,title,is_last_episode
10,9,212,1998-12-20,Sunday,8.2,8.5,Mayored to the Mob,0
10,11,214,1999-01-17,Sunday,7.7,8.8,Wild Barts Can't Be Broken,0
10,16,219,1999-02-28,Sunday,7.5,7.6,Make Room for Lisa,0
10,19,222,1999-04-11,Sunday,7.6,8.5,Mom and Pop Art,0
10,21,224,1999-05-02,Sunday,7.2,7.26,Monty Can't Buy Me Love,0
10,23,226,1999-05-16,Sunday,7.9,8.0,Thirty Minutes over Tokyo,1
11,3,229,1999-10-24,Sunday,7.5,6.7,Guess Who's Coming to Criticize Dinner?,0
11,5,231,1999-11-07,Sunday,7.6,8.4,E-I-E-I-(Annoyed Grunt),0
11,7,233,1999-11-21,Sunday,7.1,9.2,Eight Misbehavin',0
11,12,238,2000-01-23,Sunday,7.3,11.3,The Mansion Family,0
11,14,240,2000-02-13,Sunday,7.9,10.8,"Alone Again, Natura-diddily",0
11,16,242,2000-02-27,Sunday,7.3,9.4,Pygmoelian,0
11,19,245,2000-04-30,Sunday,6.6,7.46,Kill the Alligator and Run,0
11,21,247,2000-05-14,Sunday,7.3,7.5,"It's a Mad, Mad, Mad, Mad Marge",0
12,1,249,2000-11-01,Wednesday,7.6,13.2,Treehouse of Horror XI,0
12,3,251,2000-11-12,Sunday,7.1,16.4,Insane Clown Poppy,0
12,6,254,2000-12-03,Sunday,7.7,15.6,The Computer Wore Menace Shoes,0
12,10,258,2001-01-14,Sunday,7.3,15.0,Pokey Mom,0
12,13,261,2001-02-18,Sunday,7.2,15.4,Day of the Jackanapes,0
12,15,263,2001-03-04,Sunday,7.4,17.6,"Hungry, Hungry Homer",0
12,17,265,2001-04-01,Sunday,6.9,13.3,Simpson Safari,0
12,20,268,2001-05-13,Sunday,7.3,13.8,Children of a Lesser Clod,0
13,1,270,2001-11-06,Tuesday,7.5,13.0,Treehouse of Horror XII,0
13,3,272,2001-11-18,Sunday,7.2,14.4,Homer the Moe,0
13,5,274,2001-12-09,Sunday,7.7,12.9,The Blunder Years,0
13,10,279,2002-02-10,Sunday,7.5,13.2,Half-Decent Proposal,0
13,12,281,2002-02-24,Sunday,6.5,13.2,The Lastest Gun in the West,0
13,15,284,2002-03-31,Sunday,7.0,11.1,Blame It on Lisa,0
13,17,286,2002-04-21,Sunday,5.6,12.3,Gump Roast,0
4,11,70,1992-12-17,Thursday,8.7,23.6,Homer's Triple Bypass,0
14,3,294,2002-11-17,Sunday,7.0,13.3,Bart vs. Lisa vs. the Third Grade,0
14,6,297,2002-12-15,Sunday,7.3,15.5,The Great Louse Detective,0
14,8,299,2003-01-12,Sunday,7.3,12.8,The Dad Who Knew Too Little,0
14,10,301,2003-02-09,Sunday,6.8,13.4,Pray Anything,0
14,15,306,2003-03-16,Sunday,7.3,13.0,C.E.D'oh,0
14,17,308,2003-04-13,Sunday,7.2,12.02,Three Gays of the Condo,0
14,20,311,2003-05-11,Sunday,6.9,10.56,"Brake My Wife, Please",0
14,22,313,2003-05-18,Sunday,7.7,13.44,Moe Baby Blues,1
15,2,315,2003-11-09,Sunday,7.3,12.4,My Mother the Carjacker,0
15,5,318,2003-11-30,Sunday,7.2,11.7,The Fat and the Furriest,0
15,7,320,2003-12-14,Sunday,7.2,11.3,'Tis the Fifteenth Season,0
15,9,322,2004-01-11,Sunday,7.3,16.3,"I, (Annoyed Grunt)-bot",0
15,13,326,2004-02-22,Sunday,7.1,12.6,Smart & Smarter,0
15,15,328,2004-03-21,Sunday,6.9,11.2,Co-Dependents' Day,0
15,18,331,2004-04-25,Sunday,7.0,9.3,Catch 'Em If You Can,0
15,20,333,2004-05-09,Sunday,7.3,6.6,The Way We Weren't,0
15,22,335,2004-05-23,Sunday,7.2,9.2,Fraudcast News,1
16,3,338,2004-11-21,Sunday,7.1,9.95,Sleeping with the Enemy,0
16,5,340,2004-12-12,Sunday,7.1,10.31,Fat Man and Little Boy,0
16,7,342,2005-01-30,Sunday,7.0,9.97,Mommie Beerest,0
16,10,345,2005-02-20,Sunday,7.1,10.39,There's Something About Marrying,0
16,12,347,2005-03-13,Sunday,7.0,10.28,Goo Goo Gai Pan,0
16,14,349,2005-04-03,Sunday,6.9,7.48,The Seven-Beer Snitch,0
16,17,352,2005-05-01,Sunday,7.2,10.79,The Heartbroke Kid,0
16,19,354,2005-05-08,Sunday,7.3,10.05,Thank God It's Doomsday,0
17,1,357,2005-09-11,Sunday,6.3,11.1,The Bonfire of the Manatees,0
4,16,75,1993-02-18,Thursday,8.3,25.7,Duffless,0
17,7,363,2005-11-27,Sunday,6.7,11.46,The Last of the Red Hat Mamas,0
17,9,365,2005-12-18,Sunday,6.9,9.8,Simpsons Christmas Stories,0
17,12,368,2006-02-26,Sunday,6.4,9.51,My Fair Laddy,0
17,14,370,2006-03-19,Sunday,7.0,8.75,Bart Has Two Mommies,0
17,16,372,2006-04-02,Sunday,6.6,7.83,Million-Dollar Abie,0
17,20,376,2006-05-07,Sunday,6.7,8.5,Regarding Margie,0
